央视频道,#genre#
CCTV-1,http://10.255.128.136/PLTV/88888888/224/3221225633/10000100000000060000000000000170_0.smil/index.m3u8?fmt=ts2hls
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226896/index.m3u8
CCTV-2,http://10.255.128.136/PLTV/88888888/224/3221225634/10000100000000060000000000000171_0.smil/index.m3u8?fmt=ts2hls
CCTV-2,http://39.135.126.62/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3,http://10.255.128.136/PLTV/88888888/224/3221225635/10000100000000060000000000000172_0.smil/index.m3u8?fmt=ts2hls
CCTV-3,http://39.135.126.62/PLTV/88888888/224/3221226898/index.m3u8
CCTV-5,http://10.255.128.136/PLTV/88888888/224/3221225636/10000100000000060000000000000173_0.smil/index.m3u8?fmt=ts2hls
CCTV-5,http://39.135.126.62/PLTV/88888888/224/3221226900/index.m3u8
CCTV-5+,http://10.255.128.136/PLTV/88888888/224/3221225637/10000100000000060000000000000174_0.smil/index.m3u8?fmt=ts2hls
CCTV-5+,http://39.135.126.62/PLTV/88888888/224/3221226445/index.m3u8
CCTV-6,http://10.255.128.136/PLTV/88888888/224/3221225638/10000100000000060000000000000175_0.smil/index.m3u8?fmt=ts2hls
CCTV-6,http://39.135.126.62/PLTV/88888888/224/3221226847/index.m3u8
CCTV-10,http://10.255.128.136/PLTV/88888888/224/3221225642/10000100000000060000000000000179_0.smil/index.m3u8?fmt=ts2hls
CCTV-10,http://39.135.126.62/PLTV/88888888/224/3221226904/index.m3u8
CCTV-12,http://10.255.128.136/PLTV/88888888/224/3221225643/10000100000000060000000000000180_0.smil/index.m3u8?fmt=ts2hls
CCTV-12,http://39.135.126.62/PLTV/88888888/224/3221226439/index.m3u8
CCTV-13,http://10.255.128.136/PLTV/88888888/224/3221225676/10000100000000060000000000000213_0.smil/index.m3u8?fmt=ts2hls
CCTV-13,http://39.135.126.62/PLTV/88888888/224/3221226481/index.m3u8

卫视频道,#genre#
北京卫视,http://10.255.128.136/PLTV/88888888/224/3221225652/10000100000000060000000000000189_0.smil/index.m3u8?fmt=ts2hls
北京卫视,http://39.135.126.62/PLTV/88888888/224/3221226449/index.m3u8
东方卫视,http://10.255.128.136/PLTV/88888888/224/3221225654/10000100000000060000000000000191_0.smil/index.m3u8?fmt=ts2hls
东方卫视,http://39.135.126.62/PLTV/88888888/224/3221226453/index.m3u8
浙江卫视,http://10.255.128.136/PLTV/88888888/224/3221225802/10000100000000060000000000009663_0.smil/index.m3u8?fmt=ts2hls
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
江苏卫视,http://10.255.128.136/PLTV/88888888/224/3221225803/10000100000000060000000000009666_0.smil/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.126.62/PLTV/88888888/224/3221226638/index.m3u8
湖南卫视,http://10.255.128.136/PLTV/88888888/224/3221225646/10000100000000060000000000000183_0.smil/index.m3u8?fmt=ts2hls
湖南卫视,http://39.135.126.62/PLTV/88888888/224/3221226480/index.m3u8
广东卫视,http://10.255.128.136/PLTV/88888888/224/3221225650/10000100000000060000000000000187_0.smil/index.m3u8?fmt=ts2hls
广东卫视,http://39.135.126.62/PLTV/88888888/224/3221226476/index.m3u8
辽宁卫视,http://10.255.128.136/PLTV/88888888/224/3221225632/10000100000000060000000000000169_0.smil/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.135.126.62/PLTV/88888888/224/3221226859/index.m3u8
辽宁都市,http://10.255.128.136/PLTV/88888888/224/3221226258/10000100000000060000000000801420_0.smil/index.m3u8?fmt=ts2hls
辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8

体育频道,#genre#
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
JJ斗地主,,http://dns.yiandrive.com:16813/huya/14079954
纬来体育,rtmp://f13h.mine.nu/sat/tv721
央视台球,http://10.255.128.136/PLTV/88888888/224/3221225798/10000100000000060000000000000424_0.smil/index.m3u8?fmt=ts2hls
风云足球,http://10.255.128.136/PLTV/88888888/224/3221225752/10000100000000060000000000000289_0.smil/index.m3u8?fmt=ts2hls
高尔夫网球,http://10.255.128.136/PLTV/88888888/224/3221225866/10000100000000060000000000533951_0.smil/index.m3u8?fmt=ts2hls
辽宁体育,http://10.255.128.136/PLTV/88888888/224/3221226287/10000100000000060000000000801421_0.smil/index.m3u8?fmt=ts2hls
裸拳搏击,http://dns.yiandrive.com:16813/huya/20072811
街头格斗,http://dns.yiandrive.com:16813/huya/20072796

网络频道,#genre#
周星驰,http://dns.yiandrive.com:16813/huya/11342412
纪晓岚,http://dns.yiandrive.com:16813/huya/11342396
犯罪电影,http://dns.yiandrive.com:16813/huya/11352908
国产喜剧,http://dns.yiandrive.com:16813/huya/11602044
武林外传,http://159.75.85.63:35455/yy/21092633
家有儿女,http://dns.yiandrive.com:16813/huya/11352872
郭德纲相声,http://dns.yiandrive.com:16813/huya/10132155
超级交通站,http://dns.yiandrive.com:16813/huya/11342433
鹊刀门传奇,http://dns.yiandrive.com:16813/huya/11352963
历届春晚小品,http://dns.yiandrive.com:16813/huya/30254422
易中天品三国,http://dns.yiandrive.com:16813/huya/11602032
灌篮高手,https://live.iill.top/yy/1382735626
